,frequency
see if theres,1
or just focus,1
see if they,1
see if they have,1
see if they re,1
see if we,1
or just didn trust,1
see in,1
see in the,1
see in the morning,1
see is,1
see is austria,1
see is austria run,1
see or,1
see or be,1
see or be shown,1
see that,1
see that it was,1
see that move,1
see that move as,1
or ill,1
see that now,1
see that now dedicated,1
or if you,1
or if they refuse,1
see that order england,1
see that that,1
see that that ruse,1
see that turkey,1
or if they can,1
see that turkey still,1
see the,1
see the moves,1
see the moves or,1
see the strings,1
see the strings tied,1
see the summary,1
see this,1
see this as,1
see this as long,1
see this before,1
see this before the,1
see this game,1
see this game lasting,1
or if there are,1
or if there,1
see that it,1
see surprise german stab,1
see russia,1
or im,1
see russia austria,1
see russia austria collaboration,1
see russia down,1
see russia down peg,1
or is that incorrect,1
or is that,1
see shit others,1
see shit others dont,1
or is it just,1
or is it feigned,1
see some,1
or is it,1
or is,1
see some chairs,1
or interesting that happens,1
or interesting that,1
or interesting,1
or intended but right,1
or intended but,1
see some chairs in,1
see something,1
see something little,1
or intended,1
see something little more,1
see stp,1
see stp nc,1
or im telling,1
see surprise,1
see surprise german,1
see how the,1
see how that played,1
see how that baltic,1
second in sev but,1
second option would,1
second option would be,1
second too,1
second turn,1
or maybe doesn want,1
or maybe doesn,1
second turn with,1
second turn with the,1
second unit,1
second unit gonna,1
or maybe,1
or lost,1
second yeah want,1
second yeah want germanys,1
or lose and russia,1
secondary evidence,1
secondary evidence from,1
secondary evidence from england,1
secret,1
secret france,1
secret france can,1
or lose and,1
or lose,1
secure are,1
secure are you,1
secure are you feeling,1
secure his,1
secure his cooperation,1
secure his cooperation against,1
second option,1
second in sev,1
secure my homelands,1
second in,1
seasons roll,1
or messages based,1
seasons roll out,1
or messages,1
or me before trusting,1
seasons roll out or,1
seasons worth,1
or me before,1
seasons worth of support,1
or me and turkey,1
second,1
second based,1
second based on,1
second based on what,1
or me and,1
or me,1
second build or,1
second build or hold,1
or maybe it what,1
or maybe it,1
second comes,1
second comes in,1
second comes in moscow,1
second game,1
second game on,1
second game on backstabbr,1
second guessed,1
second guessed telling,1
second guessed telling you,1
secure my,1
secure my homelands at,1
see how that,1
see did,1
see england,1
see england builds,1
see from,1
see germany as,1
see germany as any,1
see grow,1
see grow strong,1
see grow strong and,1
or less in stop,1
see he is,1
or less in,1
see he is going,1
see him,1
or lepanto,1
see him moving,1
see him moving retreating,1
or just taking gre,1
see how am going,1
see how he,1
or just in hopeful,1
see how he moves,1
see how hed,1
or just in,1
see how it,1
see how it goes,1
see how some,1
see how some alliances,1
or just for fun,1
or just for,1
see did make the,1
or let,1
secure that,1
see black uniforms heading,1
secure that neither,1
secure that neither england,1
secure tun,1
or lie was tricky,1
sedentary defensive,1
sedentary defensive move,1
see,1
see an,1
see an army,1
see an army build,1
see an underdog,1
or lie was,1
see an underdog story,1
or lie,1
see and,1
see and still,1
see and still don,1
see and what,1
see and what have,1
see any,1
see any chance,1
see any chance to,1
see becoming,1
see becoming to,1
see becoming to powerfull,1
or let them evaporate,1
see bel coming,1
or let them,1
see black uniforms,1
or if its just,1
see to prevent,1
see to prevent that,1
or france,1
seemingly eminent austria england,1
seems,1
seems are,1
seems are biding,1
seems are biding their,1
seems bit,1
or force ionian,1
seems bit flat,1
seems fair,1
or force,1
seems fair with,1
seems fair with you,1
seems germany,1
or fall he can,1
seems germany is,1
seems germany is on,1
seems legit,1
seems legit it,1
seems legit it about,1
seems like,1
or fall he,1
seems like classic,1
seems like classic lepanto,1
seems like england,1
seems like england is,1
or fall,1
seems like lvn,1
seems like lvn could,1
seems like my,1
or force ionian and,1
seemingly,1
seems like nice,1
or france you,1
seem more imposing,1
seem more imposing than,1
seem poised,1
or get some,1
seem poised to collaborate,1
seem they,1
seem they had,1
or get my fleets,1
seem they had italy,1
or get my,1
or get in,1
or get,1
seem to,1
seem to be,1
seem to be afk,1
seem to be developing,1
seem to be in,1
seem to be online,1
seem to be the,1
seem to be trying,1
or germany will simply,1
seem to but,1
seem to but back,1
seem to have,1
or germany in,1
or germany,1
or german,1
or from berlin but,1
or from berlin,1
seems like my only,1
or even survive,1
or go,1
or end around on,1
seems pretty on the,1
or end around,1
seems so don,1
or end,1
or else we,1
or else,1
or doing what turkey,1
seems the germany france,1
or doing what,1
seems to,1
seems to be,1
seems to be coming,1
or doing,1
seems to be doing,1
seems to be letting,1
or do you want,1
seems to be on,1
seems to be open,1
seems to be well,1
seems to like,1
seems to like my,1
seems to me,1
seems to me like,1
seems to want,1
seems to want to,1
seems unlikely,1
seems unlikely that,1
seems unlikely that we,1
seems weird,1
seems pretty on,1
seems pretty hostile,1
seems like nice guy,1
seems pretty fair right,1
seems like our,1
or even,1
seems like our best,1
seems like russia,1
seems like russia is,1
or england yet,1
seems like the likely,1
seems like the type,1
seems like their,1
seems like their actions,1
seems like they,1
seems like they are,1
seems like total,1
seems like total waste,1
or england in the,1
or england in any,1
or england in,1
seems like turkey,1
or england are being,1
or england are,1
seems like turkey has,1
seems like you,1
seems like you are,1
seems like youve,1
seems like youve decided,1
seems more,1
seems more vulnerable,1
or england,1
seems pretty fair,1
or get some time,1
or go after,1
see told,1
see where,1
see where getting,1
or hold them,1
see where getting at,1
see where in,1
see where in the,1
see where russia,1
see where russia disbands,1
see where the,1
or hold still,1
or hold,1
or helping take vienna,1
see where the disbands,1
see where they,1
or helping take,1
see where they are,1
see where we,1
see where we both,1
see whether,1
see whether we,1
see whether we can,1
see who,1
see who tries,1
see who tries to,1
see why,1
or helping,1
or hel,1
see with,1
see with russias,1
or heaven forbid be,1
or hold them smaller,1
see what you re,1
see you,1
see what you bring,1
or if its,1
see told you that,1
or if it was,1
see what,1
see what can,1
see what can do,1
see what convoy,1
or if it,1
see what happened,1
see what happened in,1
or if germany bounced,1
or if germany,1
see what happens and,1
see what happens early,1
see what happens with,1
see what he,1
or if,1
see what italy,1
see what italy says,1
see what mean,1
see what mean about,1
see what saying,1
see what that,1
see what that has,1
see what they,1
see what they stand,1
see what turkey,1
see what turkey says,1
see what you,1
see with russias builds,1
see you as,1
seem like solid alliance,1
seeing you in the,1
seeing you survive,1
or head to,1
seeing you survive as,1
seek,1
seek an,1
seek an alliance,1
or he gets part,1
seek an alliance but,1
or he gets,1
or he,1
seek common,1
seek common ground,1
seek common ground and,1
or have if,1
or have any,1
seem,1
or have,1
seem interested in defending,1
seem like,1
or greece this,1
or good day hehe,1
or good day,1
seem like im,1
seem like im betrahing,1
seem like nice,1
seem like nice guys,1
or good,1
or go after warsaw,1
seem like solid,1
seeing you off,1
seeing you in,1
or heaven,1
seeing you,1
see you as being,1
or headed towards warsaw,1
see you either,1
see you either work,1
see you in,1
see you in the,1
see you re,1
or headed towards,1
see you re on,1
see you solo,1
see you there,1
see you there if,1
see you working,1
see you working with,1
see your,1
see your expansion,1
see your expansion going,1
or headed,1
or head to munich,1
see your point,1
seeing,1
seeing as,1
seeing as he,1
seeing as he not,1
seeing austria,1
seeing austria get,1
seeing austria get too,1
seeing here,1
seeing it,1
sev nao,1
opponent told the,1
sev nao mao,1
sil and you tap,1
only message hes ever,1
only message hes,1
only message,1
only mentioned that you,1
significantly,1
significantly better,1
only mentioned that,1
only mentioned,1
only means of doing,1
only means of,1
significantly better for that,1
sil,1
sil and,1
sil and you,1
sil going,1
should work on my,1
sil going to,1
sil going to norway,1
sil is,1
sil is good,1
sil is good move,1
sil is real,1
sil is real risk,1
sil mun,1
only means,1
sil mun ber pru,1
sil mun ber sil,1
sil mun boh,1
only makes sense as,1
sil mun boh sil,1
significant progress,1
significant number advantage before,1
significant number advantage,1
only minimal,1
only one with,1
only one build,1
only one,1
only need trieste to,1
sides so thought,1
sides so thought id,1
plays his,1
only need trieste,1
sides with russia,1
only need,1
only moved to north,1
only moved to,1
only moved,1
only move units,1
only move,1
only misunderstanding still have,1
siding,1
siding against,1
siding against them,1
only misunderstanding still,1
siding with me,1
signal,1
signal does,1
signal does that,1
signal does that send,1
only misunderstanding,1
significant,1
significant number,1
only minimal objections,1
sil mun bot,1
sil mun bot bal,1
sil mun ruh,1
silent which breeds,1
silesia,1
silesia and,1
silesia and prussia,1
silesia and prussia because,1
only if he,1
silesia by,1
silesia by any,1
silesia by any chance,1
silesia from,1
silesia from warsaw,1
silesia from warsaw in,1
silesia instead,1
silesia instead while,1
silesia instead while moving,1
silesia just,1
silesia just thought,1
only if,1
silesia just thought give,1
silesia to,1
silesia to munich,1
simplest,1
simplest is,1
simplest is mar,1
simplest is mar moving,1
simplify,1
simplify things,1
simplify things we,1
simplify things we could,1
simply,1
silent which breeds uncertainty,1
silent which,1
only makes sense,1
only if he gives,1
only makes,1
sil mun ska nth,1
sil mun swe,1
sil mun swe nwy,1
only looking at the,1
sil mun what,1
sil mun what do,1
only looking at,1
sil or,1
sil or back,1
sil or back filling,1
sil pru,1
sil pru from,1
only looking,1
sil pru if,1
only lets me know,1
sil war,1
sil war swe,1
sil war swe den,1
silence,1
only if you be,1
silence from,1
silence from england,1
silence from england and,1
only if you,1
silence to italy,1
silence to italy from,1
silence to italy idea,1
silent,1
only one with the,1
only ones,1
only ones thinking,1
only really traded supply,1
only really traded,1
shove all my units,1
shove italy,1
only really,1
shove italy out,1
shove italy out of,1
show,1
show conflict,1
show conflict to,1
show conflict to the,1
show restraint,1
show that,1
show that don,1
show that don have,1
show that like,1
show that like to,1
shower,1
shower before,1
shower before negotiating,1
only read this while,1
shown myself to be,1
only read this,1
only read,1
only question is do,1
shows me everyones moves,1
shows no,1
only question is,1
shows no interest,1
only question,1
shove all my,1
shove all,1
only profit for,1
shove,1
should work out with,1
should work together,1
should work together against,1
should work towards,1
only relevant if mao,1
only relevant if,1
only relevant,1
should work towards taking,1
shoulder,1
shoulder france,1
only reason that would,1
shoulder france or,1
shoulder france or choosing,1
shoulders,1
shoulders from,1
shoulders from few,1
shoulders from few seasons,1
shouldn,1
shouldn have,1
shouldn have worried,1
only reason that,1
shouldn have worried about,1
shouldn trust,1
only reason,1
shouldn trust to keep,1
shout,1
shout stuff,1
shout stuff to,1
shout stuff to the,1
only profit for us,1
only profit,1
only ones thinking about,1
side of that,1
side of the,1
side of the avenue,1
side of things,1
side of things may,1
side or,1
side or this,1
side or this is,1
side side,1
side side even,1
side that,1
only person,1
only outcome where you,1
side with,1
side with me,1
side with me and,1
side you,1
side you might,1
side you might be,1
sides,1
only outcome where,1
sides at,1
only outcome,1
only option at the,1
sides at moment,1
sides at moment notice,1
sides from,1
only option at,1
only option,1
sides from the,1
side of that conflict,1
side of,1
only problem with that,1
side note for bunch,1
only problem with,1
only problem,1
shrunk,1
shrunk turkey,1
shrunk turkey down,1
shrunk turkey down to,1
shuffle,1
shuffling,1
only point for all,1
shuffling units around,1
shuffling units around for,1
side,1
side all,1
side all game,1
side are,1
side are fleet,1
side are fleet accessible,1
side as,1
side as well,1
only point for,1
only point,1
side even if pushed,1
side looks,1
side looks like,1
side looks like france,1
side note,1
side note do,1
side note do you,1
only person returning,1
only handle it once,1
only handle it,1
only handle,1
sipping friend but if,1
sit down,1
sit down and,1
sit down and talk,1
sit on,1
sit on this,1
online before noon,1
sit on this island,1
site,1
online before,1
online again before resolution,1
online again before,1
sitting,1
sitting around,1
sitting as,1
sitting as long,1
sitting as long as,1
ones thinking about,1
ones thinking,1
ones,1
sitting is an,1
sitting is an option,1
one year,1
sitting russia looks,1
one with the incentive,1
situation,1
situation but,1
situation but really,1
one with the,1
situation but really think,1
sit,1
sipping friend but,1
one with cs,1
sipping friend,1
only an online player,1
only an online,1
only an,1
since you re giving,1
since you supported,1
since you supported with,1
since your,1
since your adriatic,1
only,1
sincere,1
sincere and,1
online to me too,1
sincere and not,1
online to me,1
online to,1
online right now,1
single,1
single 10,1
single 10 minute,1
single 10 minute period,1
online right,1
online player on,1
single person,1
single person has,1
single person has been,1
single unit,1
online player,1
single unit covering both,1
online before noon unfortunately,1
one with cs students,1
one with,1
since you re doing,1
size makes it seem,1
size think then,1
size think then is,1
ska,1
ska but,1
ska but my,1
ska but my guess,1
one to,1
ska is,1
ska is moving,1
ska is moving to,1
one though,1
one thing think neither,1
ska nth,1
one thing think,1
ska nth pru,1
ska nth pru ber,1
one thing like about,1
one thing like,1
one thing despite the,1
one thing despite,1
one thing curious about,1
ska nth swe,1
ska nth swe ska,1
skag,1
skag and,1
skag and she,1
skag and she cant,1
one thing,1
skag to,1
size think,1
one turn,1
situation if,1
size makes it,1
situation if just,1
one who said that,1
one who said,1
one who,1
situation is,1
situation is resolving,1
one way right now,1
situation north,1
situation north of,1
situation north of me,1
situation that,1
situation that italy,1
situation that italy wont,1
situation there,1
situation there isn,1
one way,1
situation there isn worse,1
situation unless,1
one turn liverpool can,1
situation unless can,1
situation unless can get,1
situation where,1
situation where both,1
situation where both of,1
six,1
one turn liverpool,1
six why,1
size,1
size makes,1
only be,1
since you re,1
only half paying attention,1
since austria has finally,1
since basically need,1
since basically need everyone,1
since berlin,1
since berlin so,1
only gets one,1
only gets,1
since can,1
since can break,1
since can break his,1
since didnt,1
since didnt retreat,1
since didnt retreat into,1
since france,1
since france is,1
since france is intent,1
only gathered,1
only game,1
only do berlin,1
since going from the,1
only diplomacy tournament in,1
only diplomacy tournament,1
since he,1
since he built,1
since he built that,1
since he doesn,1
since he doesn have,1
since he doesnt,1
since he doesnt seem,1
only did you,1
since basically,1
since austria has,1
since he in pitched,1
only gets one build,1
simply obliging,1
simply obliging his,1
simply obliging his desire,1
simply roll,1
simply roll over,1
only grad students,1
simply roll over all,1
simply saying in,1
simply saying in your,1
simulatenously,1
simultaneously,1
simultaneously fight,1
only going after france,1
simultaneously fight against,1
only going after,1
simultaneously fight against germany,1
since,1
only going,1
since already,1
since already have,1
since already have one,1
since am,1
only go to norwegian,1
since am expecting,1
since am expecting to,1
since am interested,1
since am interested in,1
since austria,1
only go to,1
only did,1
since if,1
only be moderately,1
since the weekend,1
since there is,1
since there is an,1
since theres,1
since theres an,1
since theres an army,1
since they,1
since they only,1
since they only speak,1
only consequence can,1
since think,1
since think otherwise,1
since think otherwise italy,1
since we,1
only consequence,1
since we have,1
since we have to,1
only benefits are things,1
since we need,1
since we need to,1
since you,1
since you brought,1
only benefits are,1
only benefits,1
only be one germany,1
since you can easily,1
only be one,1
since you hadn,1
only be moderately suspicious,1
since you hadn said,1
since there,1
since the two of,1
since if he,1
since the two,1
since if he not,1
since it,1
since it may,1
since it may affect,1
since it proves,1
only delayed the,1
since it would,1
only delayed,1
only decision point is,1
since ll,1
since ll have,1
since ll have norway,1
since my,1
since my whole,1
since my whole northern,1
since that,1
only decision,1
since that actually not,1
since that maybe,1
since that maybe you,1
since the,1
since the beginning,1
since the bot,1
since the bot was,1
since the bot went,1
since the french,1
since the french were,1
only consequence can see,1
since the start of,1
should work out,1
should work on,1
sev nao mao pic,1
open would,1
she but my,1
opened all,1
she can,1
opened,1
she can take,1
she can take it,1
open would you kindly,1
open would you,1
she cant cover them,1
she does,1
she does ideally,1
she does ideally that,1
she gets,1
she gets kissed,1
she goes,1
should work,1
she goes for,1
she goes for the,1
she just,1
open up communications since,1
open up communications,1
she just asked,1
she just asked me,1
open up,1
open until take it,1
open until take,1
open until,1
she know that,1
open to your opinions,1
she know that we,1
she but,1
she being genuine with,1
she being genuine,1
she being,1
opening and fully,1
share your,1
opening against germany,1
share your thoughts,1
opening against france or,1
share your thoughts with,1
opening against france,1
shared king of,1
shared king of england,1
shared lot,1
opening against,1
opening,1
opened to netherlands,1
shared wins are,1
shared wins are either,1
shares,1
shares lot,1
shares lot about,1
shares lot about his,1
sharing,1
opened all of his,1
opened all of,1
sharing moves,1
sharing moves though,1
sharing moves though so,1
she,1
she also,1
she also said,1
she also said she,1
open to your,1
she tell,1
she tell you,1
sheer hypocrisy,1
sheer hypocrisy of it,1
shenanigans,1
shenanigans around,1
open to coordinating to,1
shenanigans around bulgaria,1
open mao is still,1
open mao is,1
shes making,1
shes making lots,1
shes making lots of,1
shetan,1
shetan is,1
open he must,1
open he,1
shift south,1
shift south east,1
shift south east to,1
shifted,1
shifted to be,1
shifted to be pretty,1
shifting,1
shifting towards,1
shifting towards england,1
shifts,1
shit,1
open for working,1
shit bru have,1
shit bru have tried,1
shit happens,1
sheer hypocrisy of,1
sheer,1
she tell you about,1
sheep and will follow,1
she thinks,1
open to working,1
she thinks there,1
she thinks there is,1
open to the idea,1
she wants brest,1
open to the,1
open to that the,1
open to that,1
open to not moving,1
she wants brest eventually,1
open to negotiation,1
she wants edi,1
she wants edi and,1
shed,1
open to joint attack,1
shed supply,1
shed supply centers,1
shed supply centers to,1
open to it,1
open to good proposal,1
shed two,1
shed two or,1
open to england and,1
shed two or three,1
open to england,1
sheep,1
sheep and,1
sheep and will,1
share why you chose,1
opening and fully understand,1
opening and we,1
sev ukr rum,1
sevastapol,1
sevastapol you,1
sevastapol you blew,1
sevastapol you blew up,1
sevastopol,1
sevastopol either,1
sevastopol either goes,1
sevastopol either goes to,1
opinion about the,1
sevastopol next,1
sevastopol next year,1
several,1
several players,1
several players ask,1
several players ask me,1
opinion,1
opens up russo,1
sexy stab,1
sexy stab or,1
sexy stab or helping,1
shake,1
opens up,1
shake out,1
opens to armenia,1
shake out before,1
shake out before making,1
shakespeare,1
opens to,1
shaking,1
sev ukr rum but,1
sev ukr,1
shall,1
sev though right,1
sev now,1
sev now with,1
sev now with turkey,1
sev nth,1
opponent,1
sev nth rum,1
sev nth rum swe,1
sev or,1
sev or let,1
sev or let you,1
sev rum,1
sev rum so,1
sev rum so perhaps,1
sev russia,1
opinions and suggestions,1
sev russia has,1
opinions and,1
sev so,1
sev so he,1
sev so he may,1
sev supported,1
sev supported by,1
sev supported by black,1
sev this,1
sev this turn,1
opinions,1
opinion to get center,1
sev though,1
opinion to get,1
shaking out,1
shall just,1
opening and we can,1
share any reliable,1
share of builds,1
opening or are you,1
opening or are,1
opening or,1
share of the,1
share of the spoils,1
share or,1
opening north and have,1
share or needed to,1
share or vice,1
opening north and,1
share or vice versa,1
opening north,1
opening moves looking,1
share that,1
share that with,1
share that with you,1
share those,1
share those builds,1
share those builds with,1
share what,1
opening moves,1
opening him up for,1
share what your,1
opening him up,1
share what your plans,1
opening him,1
share why,1
share why you,1
share any reliable info,1
share any,1
openings,1
opening probably,1
shall just move,1
shall just move away,1
shall we,1
shall we approach,1
shall we approach this,1
shall we push,1
opening up maybe we,1
opening up maybe,1
opening up,1
shall we push on,1
opening to tyrs and,1
shame,1
shame it,1
shame it didnt,1
shame it didnt work,1
shape,1
shaped,1
opening they need to,1
shaped peninsulas,1
opening they need,1
shapes,1
shapes up,1
shapes up next,1
shapes up next turn,1
share,1
opening still,1
share all info,1
opening probably depending on,1
opening probably depending,1
shit happens to,1
open for discussion,1
open for,1
should help,1
only three,1
only thing preventing turkey,1
only thing preventing,1
should hit,1
should hit bud,1
should hit bud im,1
should it,1
only thing,1
only the western med,1
only the western,1
should it come,1
should it come to,1
only the,1
should join,1
should join the,1
should join the diplomacy,1
should keep,1
should keep up,1
only talked to me,1
should keep up our,1
should leave,1
should leave guarding,1
should leave guarding the,1
should make,1
should make go,1
should make go another,1
should move,1
should move there,1
should pick,1
should help me,1
should have this if,1
should pick one or,1
should have this,1
only way see,1
should gently work on,1
only way,1
should give me,1
only wanting to work,1
should go,1
should go ahead,1
should go ahead and,1
should go to,1
only wanting to,1
should go to moscow,1
should happen,1
should happen with,1
only wanting,1
only three land spaces,1
should have,1
should have built,1
should have built fleet,1
only three land,1
should have eng,1
should have eng convoy,1
should have given,1
should have given you,1
should have good,1
should have good relationship,1
should have moved,1
should have moved to,1
should have realized,1
should have realized only,1
should pick one,1
should probably,1
only way see it,1
only say natural antagonists,1
should take,1
only say natural,1
should take dot,1
should take dot off,1
should tell,1
should tell england,1
should tell england rn,1
only say,1
only sad thing is,1
only sad thing,1
should tell italy,1
should tell italy frances,1
should try,1
only sad,1
should try to sort,1
should use,1
should we,1
should we consider,1
should we consider reverse,1
should we continue,1
should we continue to,1
should we do,1
should we do about,1
should we just,1
should we just see,1
should we look,1
should we look into,1
should we will,1
should we will have,1
should support you in,1
should support brest holding,1
should probably be,1
only so,1
only talked,1
should really,1
only support an attack,1
should really convince france,1
should really talk,1
should really talk to,1
only support an,1
should reply to,1
should reply to france,1
should resolve,1
only specific was that,1
should resolve the western,1
should say,1
only specific was,1
should say to turkey,1
only speak in,1
only speak,1
only sparingly talked with,1
should send your army,1
only sparingly talked,1
should start moving,1
only sparingly,1
should start moving my,1
should start our,1
should start our attack,1
should start this,1
should start this turn,1
only so aggressive can,1
only so aggressive,1
should gently,1
should generally only,1
shit happens to me,1
shore up,1
shore up their position,1
short,1
short term,1
short term its,1
short term its good,1
opaque though,1
shortly assuming dont see,1
shot,1
shot at,1
shot at 18,1
oops never mind,1
oops never,1
shot at mar,1
shot at mar if,1
shot in,1
oops meant leave gre,1
oops meant leave,1
shot in the,1
oops meant,1
oops maybe misread earlier,1
shot in the endgame,1
should,1
oops maybe misread,1
oops maybe,1
oops,1
should basically,1
should basically suicide,1
should basically suicide attack,1
ooo don want to,1
shore up their,1
shore,1
should be able,1
shop to,1
shit others,1
shit others dont,1
shit out,1
shit out and,1
shit out and lock,1
open border if we,1
shoes,1
shoes if,1
open border if,1
open border,1
shoes if he,1
open as well,1
shoes if he made,1
shoot,1
open and get,1
shoot for,1
shoot for the,1
shoot for the channel,1
shoot you,1
shoot you said,1
open and,1
shoot you said isn,1
shooter,1
open agressively,1
shooter with middle,1
open about how nervous,1
open about how,1
shooter with middle management,1
shop,1
ooo don want,1
should be able to,1
only way to,1
should chat,1
should chat with others,1
should clearly,1
should clearly be,1
should clearly be labeled,1
should consider,1
only you had issues,1
should consider doing,1
should consider doing something,1
should consider some,1
should consider some tactics,1
should continue,1
should decide,1
should decide who,1
should decide who is,1
should disband,1
should do,1
should do for,1
should do for builds,1
should do it,1
should do really,1
should do really is,1
only you,1
should do that,1
should do that for,1
should do we,1
should do we want,1
should do with,1
should do with russia,1
only way to make,1
should chat with,1
should buy up that,1
should be dispose,1
should buy up,1
ooo don,1
should be easy,1
should be easy enough,1
should be easy to,1
should be expected,1
onwards to stp,1
onwards to,1
onwards,1
should be getting,1
should be getting two,1
should be honest,1
should be honest with,1
should be in,1
onto rumania,1
onto bul with alb,1
should be in good,1
onto bul with,1
onto bul then or,1
should be reading,1
should be reading that,1
should be the,1
should be the main,1
onto bul then,1
should be the one,1
should be working,1
should be working with,1
should build,1
should build my,1
should buy,1
or messages based on,1
or might,1
out of eng,1
russia for the game,1
russia england and,1
russia england and france,1
our mutual,1
russia enters,1
our moves this first,1
our moves this,1
russia fleet think,1
russia fleet think going,1
russia for,1
russia for now,1
russia for now though,1
russia for rum,1
russia for rum at,1
russia for the,1
russia for the time,1
our best interests,1
russia for you,1
russia france,1
russia france getting centers,1
russia germany,1
our moves and been,1
russia germany italy,1
our moves and,1
our heads against each,1
russia gets,1
russia gets greedy,1
our heads against,1
our heads,1
russia gets greedy and,1
our glorious alliance,1
russia england,1
russia either,1
russia down peg here,1
our mutual benefit,1
russia descending in flames,1
russia didn,1
russia didn like,1
russia didn like me,1
russia didnt,1
russia didnt get,1
russia didnt get back,1
russia disbands,1
russia do,1
russia do you,1
russia do you need,1
russia does,1
russia does not,1
russia does not support,1
russia doesnt,1
our natural,1
russia doesnt build,1
russia doesnt build stp,1
russia don,1
russia don see,1
russia don see why,1
russia down,1
our nation would be,1
our nation would,1
our nation,1
russia down if they,1
our mutual enemy this,1
russia down peg,1
our mutual enemy,1
our glorious,1
russia gonna work it,1
russia had the,1
russia how,1
our combine attention on,1
our combine attention,1
russia how they,1
russia how they plan,1
our combine,1
our collaboration although,1
our chances of crushing,1
russia hows,1
russia hows it,1
our chances of,1
our chances,1
russia hows it going,1
russia in black,1
russia in black sea,1
russia in galicia,1
russia in galicia trying,1
russia in return,1
russia in return for,1
russia in scandinavia,1
russia in sweden,1
russia into,1
russia into munich,1
russia is,1
our border in austria,1
russia is also,1
our border in,1
our border,1
russia is also going,1
russia is better,1
our current,1
our current disagreements,1
russia had the right,1
our current disagreements without,1
our germany will win,1
our front so,1
our friendly north,1
our forces,1
our fleets as well,1
our fleets as,1
our fleets,1
our end of the,1
our end of,1
our end,1
our deal is credible,1
russia has,1
russia has been,1
russia has been offering,1
russia has been playing,1
our deal is,1
russia has turned,1
russia has turned on,1
russia hasn,1
our deal,1
russia hasn spoken much,1
russia have,1
russia have you,1
our current situation,1
russia have you talked,1
russia head,1
russia hope,1
russia hope we,1
russia hope we can,1
russia descending in,1
russia descending,1
our natural alliance should,1
russia and france,1
our position,1
russia and germany are,1
our plans to give,1
our plans to,1
russia and he has,1
russia and italy,1
russia and italy reached,1
our plan to kill,1
russia and italy vs,1
russia and plan,1
russia and plan to,1
our plan to,1
russia and see how,1
russia and see if,1
our plan,1
russia and turkey,1
russia and turkey are,1
russia and turkey just,1
our peace of minds,1
our peace of,1
russia and we,1
russia and we can,1
russia and will,1
our peace,1
russia and you,1
russia and you would,1
russia and you wouldnt,1
russia anymore,1
russia anymore so,1
our position as,1
russia and austria and,1
russia apart,1
our position as friends,1
russia alliances never work,1
our tripple alliance,1
russia alone in sweden,1
our tripple,1
our triple alliance under,1
our triple alliance,1
our triple,1
russia already,1
our teeth,1
russia already for sc,1
russia ambitious,1
russia ambitious early,1
our support,1
our shared king of,1
our shared king,1
our shared,1
our salvation,1
our relationship,1
our priorities somewhat say,1
our priorities somewhat,1
our priorities,1
our prior alliances and,1
our prior alliances,1
our prior,1
our pretty excellent year,1
our pretty excellent,1
our pretty,1
our pretending,1
russia and,1
russia anymore so who,1
russia apart ill,1
russia cp their defense,1
russia best move,1
russia breathing,1
russia breathing down,1
russia breathing down my,1
russia btw,1
our options open,1
our options,1
our odds are better,1
russia but evaded that,1
our odds are,1
russia but it,1
russia but it looks,1
russia but like,1
russia but like to,1
russia but maybe,1
our odds,1
our neighbors do but,1
russia but maybe we,1
russia can,1
russia can we,1
russia can we chat,1
our neighbors do,1
russia confirmed in chat,1
russia could,1
russia could have,1
our neighbors are certainly,1
russia could have taken,1
our neighbors are,1
russia cp,1
russia cp their,1
russia best move it,1
our options open for,1
russia apart ill be,1
our other,1
russia are,1
russia are doing,1
our paths probably wont,1
russia are doing and,1
russia are planning,1
russia are the,1
russia are the winners,1
our paths probably,1
russia at,1
russia at all,1
russia austria,1
russia austria collaboration,1
russia austria collaboration but,1
russia back,1
russia because,1
russia because in,1
russia because in doing,1
russia because obviously,1
russia because obviously you,1
russia because they,1
russia because they appear,1
russia been,1
our paths,1
our own talks secret,1
our own talks,1
our own,1
our other units into,1
our other units,1
russia best,1
our best interests because,1
russia is better option,1
or might miss,1
others,1
russia stabs me,1
russia stabs me before,1
russia that,1
russia that makes,1
others dont,1
russia that the,1
russia that the last,1
russia the,1
others and double back,1
others and double,1
russia the complete plan,1
russia them,1
russia think,1
russia think im,1
russia though,1
russia is busy,1
russia though not,1
russia though not sure,1
russia thus,1
russia thus opening,1
russia thus opening him,1
russia to,1
russia to ally,1
russia to ally with,1
russia to be,1
other way and to,1
russia to disband,1
russia to disband his,1
russia to eliminate,1
russia to eliminate him,1
others for building season,1
others now,1
russia soon,1
russia so would love,1
russia right,1
otherwise it doesnt make,1
otherwise it,1
otherwise im not gonna,1
russia right now,1
russia seems,1
otherwise im not,1
russia seems to,1
russia seems to be,1
otherwise im,1
russia size,1
russia size makes,1
russia size makes it,1
russia so,1
russia so england,1
otherwise he makes it,1
russia so england germany,1
russia so far,1
russia so good,1
russia so good luck,1
otherwise he makes,1
otherwise he,1
russia so maybe,1
russia so maybe can,1
otherwise had us outgunned,1
otherwise had,1
otherwise eat souvlaki and,1
russia so would,1
otherwise eat souvlaki,1
russia to get,1
russia to get england,1
russia to go,1
