,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game11-england-russia-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-england-russia-11
Game11-turkey-russia-2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,Game11-turkey-russia-2
Game11-turkey-russia-6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,Game11-turkey-russia-6
Game11-turkey-russia-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game11-turkey-russia-10
Game11-turkey-russia-11,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,Game11-turkey-russia-11
Game11-turkey-russia-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game11-turkey-russia-12
Game11-turkey-russia-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-turkey-russia-18
Game11-turkey-russia-23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game11-turkey-russia-23
Game11-turkey-russia-24,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Game11-turkey-russia-24
Game11-turkey-russia-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game11-turkey-russia-25
Game11-turkey-russia-26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game11-turkey-russia-26
Game11-turkey-russia-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-turkey-russia-27
Game11-turkey-russia-29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Game11-turkey-russia-29
Game11-turkey-russia-32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game11-turkey-russia-32
Game11-france-russia-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,Game11-france-russia-1
Game11-france-russia-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game11-france-russia-8
Game11-england-france-9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Game11-england-france-9
Game11-england-france-11,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game11-england-france-11
Game11-england-france-12,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,Game11-england-france-12
Game11-england-france-13,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Game11-england-france-13
Game11-england-france-15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game11-england-france-15
Game11-turkey-france-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game11-turkey-france-2
Game11-turkey-france-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game11-turkey-france-5
Game11-turkey-france-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Game11-turkey-france-7
Game12-germany-italy-0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,Game12-germany-italy-0
Game12-germany-italy-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-germany-italy-1
Game12-germany-italy-2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game12-germany-italy-2
Game12-germany-italy-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game12-germany-italy-4
Game12-austria-italy-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Game12-austria-italy-0
Game12-austria-italy-1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game12-austria-italy-1
Game12-austria-italy-4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game12-austria-italy-4
Game12-england-italy-0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,Game12-england-italy-0
Game12-england-italy-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-england-italy-1
Game12-england-italy-2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game12-england-italy-2
Game12-turkey-italy-0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,Game12-turkey-italy-0
Game12-turkey-italy-1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-1
Game12-turkey-italy-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game12-turkey-italy-2
Game12-turkey-italy-4,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game12-turkey-italy-4
Game12-turkey-italy-5,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-5
Game12-turkey-italy-6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game12-turkey-italy-6
Game12-turkey-italy-7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game12-turkey-italy-7
Game12-turkey-italy-8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-8
Game12-turkey-italy-9,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-9
Game12-turkey-italy-10,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-10
Game12-turkey-italy-11,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-turkey-italy-11
Game12-turkey-italy-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game12-turkey-italy-13
Game12-turkey-italy-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-turkey-italy-14
Game12-turkey-italy-15,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,Game12-turkey-italy-15
Game12-turkey-italy-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game12-turkey-italy-16
Game12-turkey-italy-17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Game12-turkey-italy-17
Game12-turkey-italy-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game12-turkey-italy-18
Game12-turkey-italy-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,Game12-turkey-italy-19
Game12-turkey-italy-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game12-turkey-italy-20
Game12-turkey-italy-22,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Game12-turkey-italy-22
Game12-turkey-italy-23,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Game12-turkey-italy-23
Game12-turkey-italy-24,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,Game12-turkey-italy-24
Game12-turkey-italy-25,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-25
Game12-turkey-italy-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game12-turkey-italy-27
Game12-turkey-italy-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-italy-28
Game12-turkey-italy-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Game12-turkey-italy-29
Game12-turkey-italy-30,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game12-turkey-italy-30
Game12-turkey-italy-31,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-italy-31
Game12-turkey-italy-33,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game12-turkey-italy-33
Game12-turkey-italy-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-italy-34
Game12-italy-france-0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,Game12-italy-france-0
Game12-italy-france-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game12-italy-france-1
Game12-italy-france-3,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game12-italy-france-3
Game12-italy-france-4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game12-italy-france-4
Game12-italy-france-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-italy-france-5
Game12-italy-france-6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game12-italy-france-6
Game12-italy-france-7,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game12-italy-france-7
Game12-italy-france-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game12-italy-france-8
Game12-italy-france-10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Game12-italy-france-10
Game12-italy-france-11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,Game12-italy-france-11
Game12-italy-france-12,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Game12-italy-france-12
Game12-italy-france-13,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,Game12-italy-france-13
Game12-italy-france-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,Game12-italy-france-15
Game12-italy-france-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-italy-france-16
Game12-italy-france-17,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,Game12-italy-france-17
Game12-italy-france-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-italy-france-18
Game12-italy-france-19,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game12-italy-france-19
Game12-italy-france-21,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Game12-italy-france-21
Game12-italy-france-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Game12-italy-france-22
Game12-italy-france-23,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Game12-italy-france-23
Game12-italy-france-24,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game12-italy-france-24
Game12-italy-france-26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Game12-italy-france-26
Game12-italy-france-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-italy-france-27
Game12-italy-france-28,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game12-italy-france-28
Game12-italy-france-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Game12-italy-france-30
Game12-italy-france-31,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,Game12-italy-france-31
Game12-italy-france-32,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game12-italy-france-32
Game12-italy-france-34,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-italy-france-34
Game12-italy-france-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-italy-france-35
Game12-italy-france-37,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game12-italy-france-37
Game12-austria-germany-0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Game12-austria-germany-0
Game12-austria-germany-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Game12-austria-germany-1
Game12-austria-germany-2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game12-austria-germany-2
Game12-austria-germany-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game12-austria-germany-3
Game12-austria-germany-4,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game12-austria-germany-4
Game12-austria-germany-5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game12-austria-germany-5
Game12-austria-germany-6,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,Game12-austria-germany-6
Game12-germany-russia-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Game12-germany-russia-0
Game12-germany-russia-2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,Game12-germany-russia-2
Game12-germany-russia-3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game12-germany-russia-3
Game12-england-germany-0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Game12-england-germany-0
Game12-england-germany-1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,Game12-england-germany-1
Game12-england-germany-2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game12-england-germany-2
Game12-england-germany-3,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,Game12-england-germany-3
Game12-england-germany-4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-england-germany-4
Game12-turkey-germany-2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game12-turkey-germany-2
Game12-turkey-germany-3,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,Game12-turkey-germany-3
Game12-turkey-germany-4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game12-turkey-germany-4
Game12-turkey-germany-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game12-turkey-germany-5
Game12-turkey-germany-6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game12-turkey-germany-6
Game12-turkey-germany-8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game12-turkey-germany-8
Game12-turkey-germany-9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game12-turkey-germany-9
Game12-turkey-germany-10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game12-turkey-germany-10
Game12-turkey-germany-12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Game12-turkey-germany-12
Game12-turkey-germany-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game12-turkey-germany-14
Game12-turkey-germany-16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game12-turkey-germany-16
Game12-germany-france-0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Game12-germany-france-0
Game12-germany-france-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,Game12-germany-france-1
Game12-germany-france-3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game12-germany-france-3
Game12-germany-france-6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Game12-germany-france-6
Game12-germany-france-7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game12-germany-france-7
Game12-germany-france-8,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,Game12-germany-france-8
Game12-germany-france-9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Game12-germany-france-9
Game12-germany-france-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game12-germany-france-10
Game12-germany-france-13,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,Game12-germany-france-13
Game12-austria-russia-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Game12-austria-russia-0
Game12-austria-russia-2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game12-austria-russia-2
Game12-austria-russia-3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game12-austria-russia-3
Game12-england-austria-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Game12-england-austria-0
Game12-england-austria-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game12-england-austria-1
Game12-england-austria-2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game12-england-austria-2
Game12-turkey-austria-0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,Game12-turkey-austria-0
Game12-turkey-austria-3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game12-turkey-austria-3
Game12-turkey-austria-5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game12-turkey-austria-5
Game12-turkey-austria-6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,Game12-turkey-austria-6
Game12-turkey-austria-7,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game12-turkey-austria-7
Game12-turkey-austria-8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-austria-8
Game12-turkey-austria-9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-austria-9
Game12-turkey-austria-10,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-austria-10
Game12-turkey-austria-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,Game12-turkey-austria-12
Game12-turkey-austria-14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game12-turkey-austria-14
Game12-turkey-austria-15,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-austria-15
Game12-turkey-austria-16,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Game12-turkey-austria-16
Game12-turkey-austria-18,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,Game12-turkey-austria-18
Game12-turkey-austria-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game12-turkey-austria-20
Game12-turkey-austria-26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Game12-turkey-austria-26
Game12-turkey-austria-28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-turkey-austria-28
Game12-turkey-austria-29,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-austria-29
Game12-turkey-austria-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-austria-31
Game12-austria-france-1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game12-austria-france-1
Game12-england-russia-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-england-russia-3
Game12-england-russia-15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-england-russia-15
Game12-england-russia-17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game12-england-russia-17
Game12-england-russia-18,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game12-england-russia-18
Game12-england-russia-20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game12-england-russia-20
Game12-england-russia-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game12-england-russia-21
Game12-england-russia-31,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Game12-england-russia-31
Game12-england-russia-33,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game12-england-russia-33
Game12-england-russia-35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game12-england-russia-35
Game12-turkey-russia-0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,Game12-turkey-russia-0
Game12-turkey-russia-3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Game12-turkey-russia-3
Game12-turkey-russia-4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-4
Game12-turkey-russia-5,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-5
Game12-turkey-russia-6,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-turkey-russia-6
Game12-turkey-russia-7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game12-turkey-russia-7
Game12-turkey-russia-8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,Game12-turkey-russia-8
Game12-turkey-russia-10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-10
Game12-turkey-russia-11,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-11
Game12-turkey-russia-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-12
Game12-turkey-russia-13,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,Game12-turkey-russia-13
Game12-turkey-russia-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-15
Game12-turkey-russia-19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,Game12-turkey-russia-19
Game12-turkey-russia-20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-20
Game12-turkey-russia-21,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,Game12-turkey-russia-21
Game12-turkey-russia-24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-24
Game12-turkey-russia-26,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,Game12-turkey-russia-26
Game12-turkey-russia-28,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,Game12-turkey-russia-28
Game12-turkey-russia-30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game12-turkey-russia-30
Game12-turkey-russia-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-31
Game12-turkey-russia-33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-33
Game12-turkey-russia-34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-34
Game12-turkey-russia-36,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-36
Game12-turkey-russia-37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game12-turkey-russia-37
Game12-turkey-russia-38,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game12-turkey-russia-38
Game12-turkey-russia-39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-39
Game12-turkey-russia-41,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Game12-turkey-russia-41
Game12-turkey-russia-42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-42
Game12-turkey-russia-44,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game12-turkey-russia-44
Game12-turkey-russia-45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game12-turkey-russia-45
Game12-turkey-russia-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-47
Game12-turkey-russia-50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-50
Game12-turkey-russia-51,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game12-turkey-russia-51
Game12-turkey-russia-52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Game12-turkey-russia-52
Game12-turkey-russia-53,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,Game12-turkey-russia-53
Game12-turkey-russia-60,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,Game12-turkey-russia-60
Game12-turkey-russia-63,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,Game12-turkey-russia-63
Game12-turkey-russia-68,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game12-turkey-russia-68
Game12-turkey-russia-69,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Game12-turkey-russia-69
Game12-turkey-russia-72,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game12-turkey-russia-72
Game12-turkey-russia-73,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game12-turkey-russia-73
Game12-turkey-russia-75,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game12-turkey-russia-75
